Valoare pixel,Clasa pixel,Average threshold,Midrange threshold,White threshold,Bernsen threshold,Niblack threshold,Sauvola threshold,Wolf threshold,Phansalkar threshold,Nick threshold,Gaussian threshold
0.921569,0,0.815845,0.284514,0.407922,0.284514,0.775777,0.57073,0.407922,0.694074,0.647923,0.765318
0.8,0,0.814995,0.023322,0.407498,0.5,0.813004,0.415582,0.407498,0.615775,0.652013,0.813491
0.796078,0,0.807836,0.056855,0.403918,0.056855,0.80368,0.42064,0.403918,0.614772,0.646252,0.815801
0.815686,0,0.880509,0.044214,0.440255,0.044214,0.876814,0.456461,0.440255,0.668781,0.704391,0.876228
0.909804,0,0.911126,0.051895,0.455563,0.051895,0.905968,0.478969,0.455563,0.695294,0.728856,0.9063
0.803922,0,0.810712,0.012672,0.405356,0.5,0.80879,0.413115,0.405356,0.612418,0.648712,0.810315
0.858824,0,0.85892,0.009112,0.42946,0.5,0.857484,0.435603,0.42946,0.647593,0.687248,0.860725
0.305882,1,0.75725,0.265913,0.378625,0.265913,0.723836,0.504645,0.378625,0.631973,0.602188,0.715324
0.823529,0,0.813296,0.015732,0.406648,0.5,0.81131,0.414693,0.406648,0.614488,0.650644,0.814
0.901961,0,0.862038,0.299354,0.431019,0.299354,0.831651,0.56148,0.431019,0.712326,0.687008,0.896113
0.870588,0,0.788983,0.294056,0.394492,0.294056,0.751522,0.541694,0.394492,0.666218,0.626906,0.768347
0.901961,0,0.917136,0.042068,0.458568,0.042068,0.91375,0.474035,0.458568,0.695807,0.733932,0.919164
0.831373,0,0.872786,0.072326,0.436393,0.072326,0.86727,0.460371,0.436393,0.666909,0.698162,0.869364
0.913725,0,0.837397,0.345037,0.418699,0.345037,0.797986,0.583068,0.418699,0.710942,0.665363,0.861469
0.960784,0,0.963258,0.038131,0.481629,0.038131,0.960307,0.495787,0.481629,0.729677,0.770621,0.963683
0.976471,0,0.958379,0.036486,0.479189,0.036486,0.955199,0.494367,0.479189,0.726535,0.766711,0.958261
0.94902,0,0.95898,0.021046,0.47949,0.5,0.956048,0.493492,0.47949,0.726394,0.767493,0.958128
0.952941,0,0.962847,0.030488,0.481423,0.030488,0.959869,0.495704,0.481423,0.72943,0.770588,0.965073
0.811765,0,0.769005,0.266905,0.384503,0.266905,0.74298,0.484178,0.384503,0.62749,0.613055,0.744868
0.85098,0,0.810075,0.332211,0.405037,0.332211,0.78242,0.516612,0.405037,0.664054,0.645775,0.824104
0.92549,0,0.846782,0.291042,0.423391,0.291042,0.811148,0.573671,0.423391,0.710877,0.673739,0.851881
0.972549,0,0.963035,0.032672,0.481518,0.032672,0.959954,0.496296,0.481518,0.729821,0.770443,0.964203
0.858824,0,0.789277,0.299931,0.394639,0.299931,0.75294,0.537479,0.394639,0.664248,0.627326,0.808739
0.839216,0,0.84368,0.009343,0.42184,0.5,0.842346,0.427447,0.42184,0.63594,0.675231,0.842568
0.772549,0,0.779341,0.294164,0.38967,0.294164,0.743075,0.530434,0.38967,0.655806,0.619379,0.729935
0.803922,0,0.801995,0.015579,0.400997,0.5,0.800209,0.40813,0.400997,0.605604,0.641864,0.802519
0.952941,0,0.963333,0.040746,0.481666,0.040746,0.960036,0.497484,0.481666,0.730566,0.770686,0.961465
0.831373,0,0.738663,0.259246,0.369332,0.259246,0.703007,0.500506,0.369332,0.620757,0.586825,0.707625
0.462745,1,0.917535,0.271772,0.458768,0.271772,0.891422,0.578099,0.458768,0.748241,0.732246,0.870869
0.85098,0,0.77574,0.308727,0.38787,0.308727,0.739654,0.52729,0.38787,0.652452,0.616471,0.762962
0.784314,0,0.790697,0.020077,0.395348,0.5,0.788571,0.403721,0.395348,0.597808,0.632562,0.788978
0.890196,0,0.786973,0.276163,0.393486,0.276163,0.7496,0.539969,0.393486,0.66436,0.62522,0.812343
0.768627,0,0.689588,0.288635,0.344794,0.288635,0.658638,0.451091,0.344794,0.571943,0.54831,0.710151
0.827451,0,0.752441,0.271442,0.37622,0.271442,0.717052,0.508842,0.37622,0.631714,0.597896,0.763461
0.909804,0,0.940581,0.047151,0.47029,0.047151,0.936746,0.488254,0.47029,0.714607,0.752452,0.939904
0.964706,0,0.953511,0.036794,0.476756,0.036794,0.950162,0.49266,0.476756,0.723254,0.762823,0.957204
0.92549,0,0.861387,0.273295,0.430694,0.273295,0.829327,0.568234,0.430694,0.715393,0.68619,0.859995
0.956863,0,0.933073,0.051303,0.466536,0.051303,0.929123,0.484891,0.466536,0.709183,0.746445,0.931732
0.733333,0,0.688801,0.273749,0.3444,0.273749,0.65655,0.455038,0.3444,0.573541,0.547352,0.691685
0.909804,0,0.917514,0.035779,0.458757,0.035779,0.913868,0.475418,0.458757,0.696689,0.734183,0.91151
0.847059,0,0.798339,0.311742,0.399169,0.311742,0.773113,0.499467,0.399169,0.649644,0.636755,0.83759
0.917647,0,0.911259,0.045367,0.455629,0.045367,0.907721,0.471684,0.455629,0.691704,0.729056,0.911663
0.839216,0,0.833453,0.034733,0.416726,0.034733,0.830995,0.42693,0.416726,0.630611,0.666774,0.833872
0.862745,0,0.71528,0.270619,0.35764,0.270619,0.672072,0.511567,0.35764,0.614845,0.565935,0.669994
0.815686,0,0.792354,0.316701,0.396177,0.316701,0.757879,0.532225,0.396177,0.66313,0.630199,0.787641
0.909804,0,0.859576,0.267759,0.429788,0.267759,0.829765,0.557415,0.429788,0.709064,0.685231,0.90217
0.952941,0,0.825539,0.327559,0.41277,0.327559,0.786534,0.573144,0.41277,0.700085,0.656109,0.825423
0.937255,0,0.939326,0.039508,0.469663,0.039508,0.935828,0.486029,0.469663,0.712866,0.751505,0.938354
0.956863,0,0.94845,0.033003,0.474225,0.033003,0.945137,0.489875,0.474225,0.719338,0.758947,0.946481
0.905882,0,0.935355,0.032503,0.467678,0.032503,0.932263,0.48208,0.467678,0.708908,0.748675,0.933796
0.854902,0,0.86001,0.009935,0.430005,0.5,0.858514,0.436411,0.430005,0.648539,0.688164,0.85888
0.886275,0,0.831716,0.29308,0.415858,0.29308,0.794787,0.568828,0.415858,0.700978,0.661356,0.853497
0.305882,1,0.739976,0.284206,0.369988,0.284206,0.703966,0.502702,0.369988,0.622504,0.587693,0.698196
0.807843,0,0.80868,0.009104,0.40434,0.5,0.80701,0.411065,0.40434,0.610383,0.647295,0.805889
0.843137,0,0.841115,0.007512,0.420558,0.5,0.83974,0.426321,0.420558,0.634103,0.673261,0.839295
0.803922,0,0.769638,0.273418,0.384819,0.273418,0.740685,0.495804,0.384819,0.633638,0.613348,0.776248
0.894118,0,0.879803,0.074933,0.439902,0.074933,0.872705,0.471002,0.439902,0.675729,0.703757,0.890795
0.941176,0,0.832377,0.31807,0.416189,0.31807,0.794677,0.572481,0.416189,0.70314,0.661761,0.889431
0.858824,0,0.883961,0.042491,0.441981,0.042491,0.88065,0.456558,0.441981,0.670544,0.707159,0.880096
0.960784,0,0.950113,0.031203,0.475057,0.031203,0.946734,0.491046,0.475057,0.720753,0.760159,0.948456
0.941176,0,0.933807,0.039408,0.466904,0.039408,0.930173,0.483805,0.466904,0.709004,0.747053,0.938238
0.905882,0,0.910965,0.0604,0.455483,0.0604,0.905742,0.47918,0.455483,0.695321,0.728722,0.908591
0.815686,0,0.809917,0.02822,0.404959,0.5,0.807812,0.413449,0.404959,0.612192,0.64796,0.80972
0.811765,0,0.808646,0.017632,0.404323,0.5,0.806416,0.413306,0.404323,0.611491,0.646976,0.810176
0.427451,1,0.869035,0.310827,0.434517,0.310827,0.834047,0.585951,0.434517,0.728082,0.691764,0.829429
0.909804,0,0.906754,0.053141,0.453377,0.053141,0.902691,0.471724,0.453377,0.689484,0.725385,0.912034
0.890196,0,0.896131,0.032318,0.448066,0.032318,0.892353,0.464929,0.448066,0.680793,0.716888,0.896695
0.952941,0,0.856836,0.26639,0.428418,0.26639,0.819534,0.587601,0.428418,0.722856,0.681511,0.895196
0.980392,0,0.959142,0.041892,0.479571,0.041892,0.955709,0.495969,0.479571,0.727719,0.76734,0.958429
0.819608,0,0.819105,0.020085,0.409553,0.5,0.817522,0.41601,0.409553,0.618024,0.655343,0.819939
0.803922,0,0.80792,0.013864,0.40396,0.5,0.806034,0.41155,0.40396,0.610251,0.646384,0.80779
